Replicate,Time,Status,Condition,Sex,Test
3,11,1,CS rifampicin,M,B
3,15,1,CS rifampicin,M,B
3,20,0,CS rifampicin,M,B
3,20,0,CS rifampicin,M,B
4,2,1,CS rifampicin,M,B
4,7,1,CS rifampicin,M,B
4,8,1,CS rifampicin,M,B
4,8,1,CS rifampicin,M,B
4,8,1,CS rifampicin,M,B
4,8,1,CS rifampicin,M,B
4,8,1,CS rifampicin,M,B
4,9,1,CS rifampicin,M,B
4,13,1,CS rifampicin,M,B
4,13,1,CS rifampicin,M,B
5,7,1,CS rifampicin,M,B
5,8,1,CS rifampicin,M,B
5,8,1,CS rifampicin,M,B
5,9,1,CS rifampicin,M,B
5,10,1,CS rifampicin,M,B
5,16,1,CS rifampicin,M,B
5,20,1,CS rifampicin,M,B
5,20,0,CS rifampicin,M,B
5,20,0,CS rifampicin,M,B
5,20,0,CS rifampicin,M,B
1,19,1,CS ethanol,M,B
1,19,1,CS ethanol,M,B
1,20,0,CS ethanol,M,B
1,20,0,CS ethanol,M,B
1,20,0,CS ethanol,M,B
1,20,0,CS ethanol,M,B
1,20,0,CS ethanol,M,B
1,20,0,CS ethanol,M,B
1,20,0,CS ethanol,M,B
1,20,0,CS ethanol,M,B
2,16,1,CS ethanol,M,B
2,16,1,CS ethanol,M,B
2,18,1,CS ethanol,M,B
2,20,1,CS ethanol,M,B
2,20,1,CS ethanol,M,B
2,20,0,CS ethanol,M,B
2,20,0,CS ethanol,M,B
2,20,0,CS ethanol,M,B
2,20,0,CS ethanol,M,B
2,20,0,CS ethanol,M,B
3,19,1,CS ethanol,M,B
3,19,1,CS ethanol,M,B
3,20,0,CS ethanol,M,B
3,20,0,CS ethanol,M,B
3,20,0,CS ethanol,M,B
3,20,0,CS ethanol,M,B
3,20,0,CS ethanol,M,B
3,20,0,CS ethanol,M,B
3,20,0,CS ethanol,M,B
3,20,0,CS ethanol,M,B
4,1,1,CS ethanol,M,B
4,11,1,CS ethanol,M,B
4,16,1,CS ethanol,M,B
4,19,1,CS ethanol,M,B
4,20,0,CS ethanol,M,B
4,20,0,CS ethanol,M,B
4,20,0,CS ethanol,M,B
4,20,0,CS ethanol,M,B
4,20,0,CS ethanol,M,B
4,20,0,CS ethanol,M,B
5,20,0,CS ethanol,M,B
5,20,0,CS ethanol,M,B
5,20,0,CS ethanol,M,B
5,20,0,CS ethanol,M,B
5,20,0,CS ethanol,M,B
5,20,0,CS ethanol,M,B
5,20,0,CS ethanol,M,B
5,20,0,CS ethanol,M,B
5,20,0,CS ethanol,M,B
5,20,0,CS ethanol,M,B
1,8,1,iso water,M,B
1,8,1,iso water,M,B
1,8,1,iso water,M,B
1,8,1,iso water,M,B
1,8,1,iso water,M,B
1,8,1,iso water,M,B
1,8,1,iso water,M,B
1,8,1,iso water,M,B
1,9,1,iso water,M,B
1,20,0,iso water,M,B
2,6,1,iso water,M,B
2,7,1,iso water,M,B
2,8,1,iso water,M,B
2,8,1,iso water,M,B
2,8,1,iso water,M,B
2,8,1,iso water,M,B
2,8,1,iso water,M,B
2,8,1,iso water,M,B
2,9,1,iso water,M,B
2,20,0,iso water,M,B
3,9,1,iso water,M,B
3,9,1,iso water,M,B
3,11,1,iso water,M,B
3,11,1,iso water,M,B
3,20,0,iso water,M,B
3,20,0,iso water,M,B
3,20,0,iso water,M,B
3,20,0,iso water,M,B
3,20,0,iso water,M,B
3,20,0,iso water,M,B
4,8,1,iso water,M,B
4,8,1,iso water,M,B
4,8,1,iso water,M,B
4,9,1,iso water,M,B
4,9,1,iso water,M,B
4,9,1,iso water,M,B
4,11,1,iso water,M,B
4,20,0,iso water,M,B
4,20,0,iso water,M,B
4,20,0,iso water,M,B
5,9,1,iso water,M,B
5,10,1,iso water,M,B
5,11,1,iso water,M,B
5,12,1,iso water,M,B
5,12,1,iso water,M,B
5,16,1,iso water,M,B
5,20,0,iso water,M,B
5,20,0,iso water,M,B
5,20,0,iso water,M,B
5,20,0,iso water,M,B
1,18,1,CS water,M,B
1,20,1,CS water,M,B
1,20,0,CS water,M,B
1,20,0,CS water,M,B
1,20,0,CS water,M,B
1,20,0,CS water,M,B
1,20,0,CS water,M,B
1,20,0,CS water,M,B
1,20,0,CS water,M,B
1,20,0,CS water,M,B
2,1,1,CS water,M,B
2,15,1,CS water,M,B
2,18,1,CS water,M,B
2,20,0,CS water,M,B
2,20,0,CS water,M,B
2,20,0,CS water,M,B
2,20,0,CS water,M,B
2,20,0,CS water,M,B
2,20,0,CS water,M,B
2,20,0,CS water,M,B
3,18,1,CS water,M,B
3,20,0,CS water,M,B
3,20,0,CS water,M,B
3,20,0,CS water,M,B
3,20,0,CS water,M,B
3,20,0,CS water,M,B
3,20,0,CS water,M,B
3,20,0,CS water,M,B
3,20,0,CS water,M,B
3,20,0,CS water,M,B
4,1,1,CS water,M,B
4,20,1,CS water,M,B
4,20,0,CS water,M,B
4,20,0,CS water,M,B
4,20,0,CS water,M,B
4,20,0,CS water,M,B
4,20,0,CS water,M,B
4,20,0,CS water,M,B
4,20,0,CS water,M,B
4,20,0,CS water,M,B
5,20,0,CS water,M,B
5,20,0,CS water,M,B
5,20,0,CS water,M,B
5,20,0,CS water,M,B
5,20,0,CS water,M,B
5,20,0,CS water,M,B
5,20,0,CS water,M,B
5,20,0,CS water,M,B
5,20,0,CS water,M,B
5,20,0,CS water,M,B
1,7,1,iso ampicillin,M,B
1,7,1,iso ampicillin,M,B
1,7,1,iso ampicillin,M,B
1,8,1,iso ampicillin,M,B
1,8,1,iso ampicillin,M,B
1,8,1,iso ampicillin,M,B
1,8,1,iso ampicillin,M,B
1,8,1,iso ampicillin,M,B
1,9,1,iso ampicillin,M,B
1,20,0,iso ampicillin,M,B
2,7,1,iso ampicillin,M,B
2,7,1,iso ampicillin,M,B
2,8,1,iso ampicillin,M,B
2,8,1,iso ampicillin,M,B
2,9,1,iso ampicillin,M,B
2,9,1,iso ampicillin,M,B
2,11,1,iso ampicillin,M,B
2,16,1,iso ampicillin,M,B
2,20,0,iso ampicillin,M,B
2,20,0,iso ampicillin,M,B
3,6,1,iso ampicillin,M,B
3,7,1,iso ampicillin,M,B
3,7,1,iso ampicillin,M,B
3,9,1,iso ampicillin,M,B
3,10,1,iso ampicillin,M,B
3,11,1,iso ampicillin,M,B
3,20,0,iso ampicillin,M,B
3,20,0,iso ampicillin,M,B
3,20,0,iso ampicillin,M,B
3,20,0,iso ampicillin,M,B
4,7,1,iso ampicillin,M,B
4,8,1,iso ampicillin,M,B
4,8,1,iso ampicillin,M,B
4,9,1,iso ampicillin,M,B
4,9,1,iso ampicillin,M,B
4,10,1,iso ampicillin,M,B
4,14,1,iso ampicillin,M,B
4,20,0,iso ampicillin,M,B
4,20,0,iso ampicillin,M,B
4,20,0,iso ampicillin,M,B
5,7,1,iso ampicillin,M,B
5,7,1,iso ampicillin,M,B
5,8,1,iso ampicillin,M,B
5,8,1,iso ampicillin,M,B
5,14,1,iso ampicillin,M,B
5,20,0,iso ampicillin,M,B
5,20,0,iso ampicillin,M,B
5,20,0,iso ampicillin,M,B
5,20,0,iso ampicillin,M,B
5,20,0,iso ampicillin,M,B
1,20,0,CS ampicillin,M,B
1,20,0,CS ampicillin,M,B
1,20,0,CS ampicillin,M,B
1,20,0,CS ampicillin,M,B
1,20,0,CS ampicillin,M,B
1,20,0,CS ampicillin,M,B
1,20,0,CS ampicillin,M,B
1,20,0,CS ampicillin,M,B
1,20,0,CS ampicillin,M,B
1,20,0,CS ampicillin,M,B
2,17,1,CS ampicillin,M,B
2,20,0,CS ampicillin,M,B
2,20,0,CS ampicillin,M,B
2,20,0,CS ampicillin,M,B
2,20,0,CS ampicillin,M,B
2,20,0,CS ampicillin,M,B
2,20,0,CS ampicillin,M,B
2,20,0,CS ampicillin,M,B
2,20,0,CS ampicillin,M,B
2,20,0,CS ampicillin,M,B
3,1,1,CS ampicillin,M,B
3,14,1,CS ampicillin,M,B
3,20,0,CS ampicillin,M,B
3,20,0,CS ampicillin,M,B
3,20,0,CS ampicillin,M,B
3,20,0,CS ampicillin,M,B
3,20,0,CS ampicillin,M,B
3,20,0,CS ampicillin,M,B
3,20,0,CS ampicillin,M,B
3,20,0,CS ampicillin,M,B
4,18,1,CS ampicillin,M,B
4,19,1,CS ampicillin,M,B
4,20,0,CS ampicillin,M,B
4,20,0,CS ampicillin,M,B
4,20,0,CS ampicillin,M,B
4,20,0,CS ampicillin,M,B
4,20,0,CS ampicillin,M,B
4,20,0,CS ampicillin,M,B
4,20,0,CS ampicillin,M,B
4,20,0,CS ampicillin,M,B
5,20,0,CS ampicillin,M,B
5,20,0,CS ampicillin,M,B
5,20,0,CS ampicillin,M,B
5,20,0,CS ampicillin,M,B
5,20,0,CS ampicillin,M,B
5,20,0,CS ampicillin,M,B
5,20,0,CS ampicillin,M,B
5,20,0,CS ampicillin,M,B
5,20,0,CS ampicillin,M,B
5,20,0,CS ampicillin,M,B
1,6,1,iso streptomycin,M,B
1,7,1,iso streptomycin,M,B
1,7,1,iso streptomycin,M,B
1,7,1,iso streptomycin,M,B
1,8,1,iso streptomycin,M,B
1,8,1,iso streptomycin,M,B
1,8,1,iso streptomycin,M,B
1,20,0,iso streptomycin,M,B
1,20,0,iso streptomycin,M,B
1,20,0,iso streptomycin,M,B
2,7,1,iso streptomycin,M,B
2,8,1,iso streptomycin,M,B
2,8,1,iso streptomycin,M,B
2,8,1,iso streptomycin,M,B
2,9,1,iso streptomycin,M,B
2,9,1,iso streptomycin,M,B
2,9,1,iso streptomycin,M,B
2,9,1,iso streptomycin,M,B
2,13,1,iso streptomycin,M,B
2,20,0,iso streptomycin,M,B
3,8,1,iso streptomycin,M,B
3,8,1,iso streptomycin,M,B
3,8,1,iso streptomycin,M,B
3,9,1,iso streptomycin,M,B
3,9,1,iso streptomycin,M,B
3,10,1,iso streptomycin,M,B
3,12,1,iso streptomycin,M,B
3,20,0,iso streptomycin,M,B
3,20,0,iso streptomycin,M,B
3,20,0,iso streptomycin,M,B
4,6,1,iso streptomycin,M,B
4,11,1,iso streptomycin,M,B
4,11,1,iso streptomycin,M,B
4,11,1,iso streptomycin,M,B
4,14,1,iso streptomycin,M,B
4,20,0,iso streptomycin,M,B
4,20,0,iso streptomycin,M,B
4,20,0,iso streptomycin,M,B
4,20,0,iso streptomycin,M,B
4,20,0,iso streptomycin,M,B
5,9,1,iso streptomycin,M,B
5,9,1,iso streptomycin,M,B
5,12,1,iso streptomycin,M,B
5,16,1,iso streptomycin,M,B
5,18,1,iso streptomycin,M,B
5,19,1,iso streptomycin,M,B
5,20,0,iso streptomycin,M,B
5,20,0,iso streptomycin,M,B
5,20,0,iso streptomycin,M,B
5,20,0,iso streptomycin,M,B
1,20,0,CS streptomycin,M,B
1,20,0,CS streptomycin,M,B
1,20,0,CS streptomycin,M,B
1,20,0,CS streptomycin,M,B
1,20,0,CS streptomycin,M,B
1,20,0,CS streptomycin,M,B
1,20,0,CS streptomycin,M,B
1,20,0,CS streptomycin,M,B
1,20,0,CS streptomycin,M,B
1,20,0,CS streptomycin,M,B
2,20,1,CS streptomycin,M,B
2,20,0,CS streptomycin,M,B
2,20,0,CS streptomycin,M,B
2,20,0,CS streptomycin,M,B
2,20,0,CS streptomycin,M,B
2,20,0,CS streptomycin,M,B
2,20,0,CS streptomycin,M,B
2,20,0,CS streptomycin,M,B
2,20,0,CS streptomycin,M,B
2,20,0,CS streptomycin,M,B
3,14,1,CS streptomycin,M,B
3,20,0,CS streptomycin,M,B
3,20,0,CS streptomycin,M,B
3,20,0,CS streptomycin,M,B
3,20,0,CS streptomycin,M,B
3,20,0,CS streptomycin,M,B
3,20,0,CS streptomycin,M,B
3,20,0,CS streptomycin,M,B
3,20,0,CS streptomycin,M,B
3,20,0,CS streptomycin,M,B
4,20,0,CS streptomycin,M,B
4,20,0,CS streptomycin,M,B
4,20,0,CS streptomycin,M,B
4,20,0,CS streptomycin,M,B
4,20,0,CS streptomycin,M,B
4,20,0,CS streptomycin,M,B
4,20,0,CS streptomycin,M,B
4,20,0,CS streptomycin,M,B
4,20,0,CS streptomycin,M,B
4,20,0,CS streptomycin,M,B
5,20,0,CS streptomycin,M,B
5,20,0,CS streptomycin,M,B
5,20,0,CS streptomycin,M,B
5,20,0,CS streptomycin,M,B
5,20,0,CS streptomycin,M,B
5,20,0,CS streptomycin,M,B
5,20,0,CS streptomycin,M,B
5,20,0,CS streptomycin,M,B
5,20,0,CS streptomycin,M,B
5,20,0,CS streptomycin,M,B
